time,Constrained Defence Spending,Cumulative Defence Spending,rate of orders fulfilled,rate of expenses,Cumulative Earnings,stress_to_willingness,delay,shock,shock_pct
17.5,35.07473126250001,727.9849999999998,4.660317295113936,4.220424120231512,6.1802806045203225,1.0,1,0.0,0%
17.75,34.94437195625,739.4024999999998,4.691523906519112,4.252560885765163,6.257261910124747,1.0,1,0.0,0%
18.0,34.81401265,750.8199999999998,4.716754075720562,4.279327019492312,6.334080438756688,1.0,1,0.0,0%
18.25,34.68365334375,762.2374999999998,4.737347728228165,4.301924478651995,6.410630173596632,1.0,1,0.0,0%
18.5,34.5532940375,773.6549999999999,4.754327961617522,4.321271679159656,6.486829242272461,1.0,1,0.0,0%
18.75,34.42293473125,785.0724999999999,4.768476182489792,4.338070541960649,6.562614091702588,1.0,1,0.0,0%
19.0,34.292575425,796.4899999999999,4.780389421556418,4.35285768383423,6.637935078795188,1.0,1,0.0,0%
19.25,34.16221611875,807.9074999999999,4.790524054089,4.366043502257762,6.71275313289657,1.0,1,0.0,0%
19.5,34.0318568125,819.3249999999999,4.799229150298475,4.377942017219687,6.787037229467037,1.0,1,0.0,0%
19.75,33.90149750625,830.7425,4.806771915360391,4.388793655841823,6.860762477755825,1.0,1,0.0,0%
20.0,33.7711382,842.16,4.813357095372992,4.398782648748516,6.933908673171575,1.0,1,0.0,0%
20.25,33.7678433640625,853.5775,4.8191417804908205,4.40312002920275,7.006459201330858,1.0,1,0.0,0%
20.5,33.76306766953125,865.038125,4.83918361503914,4.420478696829445,7.07926300780627,1.0,1,0.0,0%
20.75,33.75680553710937,876.541875,4.869917692073967,4.447594473009188,7.152536368492967,1.0,1,0.0,0%
21.0,33.749051387499996,888.08875,4.9086240152834915,4.481977460279085,7.226442931829304,1.0,1,0.0,0%
21.25,33.6147232875,899.67875,4.953225459911579,4.521726771854338,7.301106078955075,1.0,1,0.0,0%
